instance,job,le,namespace,operation,pod_ip,prometheus,prometheus_replica,root,scheme
172.16.178.129:4000,greptimedb,+Inf,,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,+Inf,,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,+Inf,bulk-ingestion-test,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,+Inf,bulk-ingestion-test,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,1.048576e+06,,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,1.048576e+06,,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,1.048576e+06,bulk-ingestion-test,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,1.048576e+06,bulk-ingestion-test,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,1.34217728e+08,,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,1.34217728e+08,,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,1.34217728e+08,bulk-ingestion-test,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,1.34217728e+08,bulk-ingestion-test,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,131072.0,,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,131072.0,,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,131072.0,bulk-ingestion-test,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,131072.0,bulk-ingestion-test,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,2.147483648e+09,,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,2.147483648e+09,,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,2.147483648e+09,bulk-ingestion-test,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,2.147483648e+09,bulk-ingestion-test,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,3.3554432e+07,,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,3.3554432e+07,,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,3.3554432e+07,bulk-ingestion-test,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,3.3554432e+07,bulk-ingestion-test,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,3.4359738368e+10,,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,3.4359738368e+10,,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,3.4359738368e+10,bulk-ingestion-test,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,3.4359738368e+10,bulk-ingestion-test,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,32768.0,,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,32768.0,,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,32768.0,bulk-ingestion-test,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,32768.0,bulk-ingestion-test,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,5.36870912e+08,,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,5.36870912e+08,,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,5.36870912e+08,bulk-ingestion-test,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,5.36870912e+08,bulk-ingestion-test,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,8.388608e+06,,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,8.388608e+06,,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,8.388608e+06,bulk-ingestion-test,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,8.388608e+06,bulk-ingestion-test,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,8.589934592e+09,,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,8.589934592e+09,,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,8.589934592e+09,bulk-ingestion-test,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,8.589934592e+09,bulk-ingestion-test,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,8192.0,,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,8192.0,,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.129:4000,greptimedb,8192.0,bulk-ingestion-test,read,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.129:4000,greptimedb,8192.0,bulk-ingestion-test,write,172.16.178.129,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.133:4000,greptimedb,+Inf,,read,172.16.178.133,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.133:4000,greptimedb,+Inf,,write,172.16.178.133,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
172.16.178.133:4000,greptimedb,+Inf,bulk-ingestion-test,read,172.16.178.133,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.133:4000,greptimedb,+Inf,bulk-ingestion-test,write,172.16.178.133,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data-20250924/,s3
172.16.178.133:4000,greptimedb,1.048576e+06,,read,172.16.178.133,kube-system/prometheus-stack-kube-prom-prometheus,prometheus-prometheus-stack-kube-prom-prometheus-0,/data/greptimedb,fs
